company_name,model,year,km_driven,fuel_type,transmission,engine_cc,max_power_bhp,condition,mileage_kmpl,price_usd
Tesla,Model S,2020,148445,Hybrid,Manual,4430,415,Second Hand,21.6,144030.93
Mercedes-Benz,C-Class,1989,31358,Electric,Manual,3227,168,Second Hand,18.1,2000.0
Tesla,Model S,2001,0,Diesel,Manual,1472,597,Brand New,16.2,395927.54
Mahindra,Scorpio,1992,0,Electric,Manual,3864,419,Brand New,29.6,25260.15
Toyota,Fortuner,2001,0,Diesel,Manual,4158,629,Brand New,12.1,10866.53
BMW,X5,1987,137302,Electric,Automatic,1547,229,Second Hand,22.7,2000.0
Audi,Q5,2000,0,Hybrid,Manual,3783,241,Brand New,30.3,88086.39
Land Rover,Range Rover,2023,0,Hybrid,Manual,3701,92,Brand New,12.0,106927.4
BMW,5 Series,2013,0,Petrol,Manual,971,543,Brand New,13.2,53834.82
Tata,Safari,2009,132967,Diesel,Automatic,1428,522,Second Hand,16.4,11864.28
Land Rover,Discovery,2002,0,Diesel,Automatic,3419,287,Brand New,34.6,107502.7
Tesla,Model S,1994,0,Electric,Automatic,2629,422,Brand New,8.9,272385.35
Lamborghini,Huracan,1998,0,Hybrid,Manual,4948,482,Brand New,20.5,424471.87
Honda,CRV,2006,0,Electric,Manual,4013,584,Brand New,21.6,26811.48
Land Rover,Discovery,1997,87396,Electric,Manual,3647,74,Second Hand,34.8,2000.0
Rolls-Royce,Phantom,2007,9272,Electric,Manual,1506,692,Second Hand,31.0,118493.7
Tesla,Model 3,2022,47042,Diesel,Manual,1723,698,Second Hand,16.0,121362.19
Porsche,Cayenne,2013,0,Diesel,Automatic,3386,204,Brand New,12.1,98945.53
Honda,Accord,2009,86099,Electric,Automatic,4425,460,Second Hand,15.6,2000.0
Ford,Endeavour,2000,0,Hybrid,Automatic,1068,501,Brand New,32.3,34465.44
Toyota,RAV4,1987,103131,Petrol,Manual,4699,586,Second Hand,14.3,2000.0
BMW,X3,2017,138819,Diesel,Manual,4252,434,Second Hand,19.2,45838.67
Mahindra,Scorpio,1989,164692,Hybrid,Manual,905,216,Second Hand,20.5,2000.0
Tata,Safari,2000,208630,Petrol,Manual,4063,627,Second Hand,33.2,2000.0
Hyundai,Elantra,1987,90376,Petrol,Manual,2263,448,Second Hand,24.5,2000.0
Nissan,Micra,2004,0,Petrol,Automatic,1388,457,Brand New,24.4,27089.99
Mercedes-Benz,E-Class,1988,0,Electric,Manual,3406,470,Brand New,19.1,53099.24
Lamborghini,Aventador,2019,41866,Petrol,Automatic,2244,483,Second Hand,34.5,210191.51
Volkswagen,Passat,2024,115042,Petrol,Automatic,2451,681,Second Hand,33.5,27959.87
Toyota,Camry,2018,0,Diesel,Automatic,4280,491,Brand New,32.9,30563.93
Toyota,RAV4,2007,0,Diesel,Automatic,3402,206,Brand New,17.5,17533.04
BMW,5 Series,2023,0,Hybrid,Manual,1629,355,Brand New,25.8,74093.02
Rolls-Royce,Ghost,2020,83783,Electric,Manual,1722,257,Second Hand,34.5,196105.62
Kia,Sonet,2011,56392,Electric,Manual,4933,428,Second Hand,33.1,8077.65
Honda,City,1993,192140,Petrol,Manual,1466,213,Second Hand,28.5,2000.0
Ferrari,Roma,2019,0,Petrol,Automatic,846,592,Brand New,33.5,201445.94
Kia,Sonet,2017,0,Diesel,Automatic,3983,294,Brand New,13.2,34635.77
Rolls-Royce,Ghost,2018,0,Diesel,Manual,1412,301,Brand New,9.3,432112.07
Hyundai,i20,1994,0,Petrol,Manual,3299,169,Brand New,32.6,11168.09
Ferrari,Roma,2001,84077,Petrol,Automatic,3718,367,Second Hand,22.9,2000.0
Land Rover,Range Rover,2020,0,Electric,Manual,4041,161,Brand New,25.3,55984.01
Ford,Figo,1999,0,Electric,Manual,3037,549,Brand New,12.7,30694.76
Toyota,Camry,1990,0,Diesel,Automatic,1654,624,Brand New,11.9,20761.25
Nissan,Micra,1991,0,Hybrid,Automatic,4940,132,Brand New,27.2,26306.63
Ferrari,488,1985,0,Petrol,Automatic,3843,552,Brand New,22.9,252009.67
Porsche,911,2009,0,Electric,Manual,4658,693,Brand New,24.8,95246.46
Mahindra,XUV500,2020,0,Diesel,Manual,4121,189,Brand New,18.3,14644.06
Nissan,Kicks,2005,98249,Petrol,Manual,4987,255,Second Hand,27.0,2000.0
Porsche,Cayenne,1993,223313,Petrol,Automatic,913,129,Second Hand,22.9,2000.0
Tesla,Model S,1986,169710,Electric,Manual,1356,501,Second Hand,11.0,2000.0
Tesla,Model Y,2006,0,Electric,Manual,3964,496,Brand New,13.8,358707.73
Porsche,Macan,2000,0,Electric,Automatic,1539,182,Brand New,8.5,77206.35
Ford,Figo,2004,176616,Hybrid,Manual,1124,476,Second Hand,10.8,2000.0
Porsche,Macan,2002,0,Diesel,Automatic,1958,314,Brand New,18.2,52019.19
Honda,Accord,2014,0,Petrol,Manual,2781,585,Brand New,25.6,13446.37
Kia,Seltos,1991,0,Petrol,Manual,3400,268,Brand New,11.9,12014.31
Tesla,Model 3,1994,0,Electric,Automatic,2430,109,Brand New,23.3,349687.85
Lamborghini,Aventador,1998,102290,Electric,Automatic,3833,109,Second Hand,23.9,10696.17
Nissan,Micra,1986,244154,Diesel,Automatic,4007,589,Second Hand,25.4,2000.0
Mahindra,XUV500,2016,227180,Electric,Automatic,4904,488,Second Hand,22.6,11281.64
Nissan,Kicks,2008,0,Hybrid,Automatic,4783,653,Brand New,11.3,16437.73
Mercedes-Benz,GLC,2019,0,Diesel,Automatic,2130,326,Brand New,12.5,101232.11
Kia,Seltos,1986,117687,Electric,Manual,4662,136,Second Hand,22.1,2000.0
Lamborghini,Aventador,2007,0,Petrol,Automatic,3496,321,Brand New,13.1,250424.89
Volkswagen,Polo,2010,226244,Hybrid,Manual,2787,691,Second Hand,32.3,2000.0
Volkswagen,Vento,1994,0,Electric,Manual,3689,136,Brand New,15.9,24169.79
Ford,Figo,2001,0,Hybrid,Manual,4993,101,Brand New,26.9,11925.97
BMW,5 Series,2018,21442,Hybrid,Automatic,2303,591,Second Hand,14.6,68477.74
Audi,A4,1997,61208,Electric,Automatic,3689,581,Second Hand,18.6,2000.0
Land Rover,Discovery,2012,0,Hybrid,Manual,3590,370,Brand New,13.1,88377.14
Lamborghini,Huracan,1990,0,Electric,Manual,4989,126,Brand New,29.3,253531.56
Ferrari,Roma,2009,0,Hybrid,Manual,4072,395,Brand New,24.0,170520.75
Toyota,RAV4,2017,207359,Petrol,Manual,1401,503,Second Hand,30.5,2000.0
Ford,Endeavour,2007,0,Petrol,Automatic,3381,157,Brand New,23.5,25726.48
Rolls-Royce,Phantom,2000,81944,Diesel,Manual,3614,389,Second Hand,13.0,2000.0
Volkswagen,Polo,1997,159192,Petrol,Manual,3278,271,Second Hand,10.9,2000.0
BMW,3 Series,1998,0,Hybrid,Automatic,1940,194,Brand New,28.6,83334.21
Nissan,Kicks,2016,237089,Petrol,Manual,1277,482,Second Hand,18.4,6899.33
Ferrari,Roma,1992,30332,Diesel,Manual,3583,492,Second Hand,32.6,2000.0
Tata,Harrier,1996,97071,Petrol,Manual,4420,197,Second Hand,17.9,2000.0
Mahindra,XUV500,1988,0,Electric,Automatic,4540,347,Brand New,8.2,11715.44
Ford,Figo,2009,0,Diesel,Automatic,4903,259,Brand New,14.5,29751.65
Audi,Q3,1990,0,Diesel,Automatic,3031,277,Brand New,30.5,94438.59
Audi,Q5,2007,158851,Diesel,Automatic,2072,692,Second Hand,10.3,2000.0
Mahindra,XUV500,2007,0,Hybrid,Manual,1234,131,Brand New,14.3,34753.74
Mahindra,Thar,2019,81218,Electric,Automatic,2458,698,Second Hand,27.9,12020.58
Volkswagen,Vento,2018,0,Hybrid,Automatic,1891,134,Brand New,8.5,15212.02
Honda,City,1987,140624,Hybrid,Automatic,3276,695,Second Hand,16.9,2000.0
Ford,Mustang,2005,156515,Electric,Manual,2417,233,Second Hand,15.7,2000.0
Ford,Mustang,2001,125301,Electric,Automatic,3066,599,Second Hand,34.0,2000.0
Mahindra,Thar,2014,0,Electric,Manual,3328,361,Brand New,26.4,29918.15
Ferrari,Roma,1996,0,Diesel,Automatic,4353,82,Brand New,17.5,113469.7
Honda,CRV,2020,60027,Diesel,Automatic,2236,567,Second Hand,23.1,23816.14
Toyota,Fortuner,2004,161097,Hybrid,Automatic,1423,522,Second Hand,24.7,5179.45
BMW,X3,2011,237153,Diesel,Automatic,1793,371,Second Hand,20.2,36328.12
Kia,Carnival,1987,223375,Hybrid,Automatic,2191,628,Second Hand,29.3,2000.0
Ferrari,Roma,2021,139267,Petrol,Automatic,2131,85,Second Hand,22.0,175387.02
Mercedes-Benz,C-Class,1995,0,Diesel,Automatic,1713,504,Brand New,28.3,81364.87
Mercedes-Benz,E-Class,1999,0,Petrol,Automatic,2959,460,Brand New,25.8,81648.39
BMW,3 Series,2012,149398,Electric,Manual,2509,513,Second Hand,12.6,13937.37
Honda,Civic,1990,0,Electric,Manual,875,359,Brand New,18.0,30642.45
Ferrari,488,1989,238329,Hybrid,Manual,3535,493,Second Hand,28.2,2000.0
Lamborghini,Aventador,2000,0,Hybrid,Automatic,2435,664,Brand New,20.8,195936.79
Audi,Q5,2001,0,Electric,Manual,1079,84,Brand New,15.8,47239.08
Toyota,Corolla,2013,42840,Petrol,Manual,4526,373,Second Hand,12.8,14235.97
Tesla,Model Y,2009,0,Hybrid,Automatic,3538,396,Brand New,11.1,265029.79
McLaren,720S,1986,0,Diesel,Automatic,2622,172,Brand New,18.8,247134.16
Rolls-Royce,Ghost,2008,210773,Hybrid,Manual,1078,261,Second Hand,11.1,22288.65
Kia,Carnival,2013,94597,Diesel,Manual,4891,275,Second Hand,24.2,4956.64
Tata,Safari,1996,0,Electric,Automatic,4875,414,Brand New,20.7,40917.28
Ferrari,Roma,2010,0,Petrol,Manual,3857,424,Brand New,26.3,264253.25
BMW,3 Series,1991,0,Petrol,Manual,4465,365,Brand New,23.2,83871.76
BMW,5 Series,2023,0,Hybrid,Manual,1475,465,Brand New,9.1,48979.9
Honda,CRV,1992,207332,Diesel,Automatic,1510,262,Second Hand,18.4,2000.0
Volvo,S60,2004,0,Diesel,Manual,2440,351,Brand New,9.1,89971.42
Tata,Nexon,2010,232653,Electric,Automatic,2549,658,Second Hand,16.9,2000.0
Toyota,Fortuner,1987,86095,Petrol,Automatic,3363,552,Second Hand,30.2,2000.0
McLaren,570S,2024,70517,Diesel,Automatic,2452,329,Second Hand,31.8,166533.1
Tesla,Model 3,2008,229987,Hybrid,Automatic,2547,116,Second Hand,22.7,26137.3
Hyundai,i20,1995,234646,Electric,Automatic,4274,91,Second Hand,12.4,2000.0
Volkswagen,Vento,2012,0,Hybrid,Manual,3700,532,Brand New,10.1,10448.13
Mercedes-Benz,E-Class,1988,15898,Hybrid,Manual,2552,226,Second Hand,20.6,2000.0
Ford,Figo,1990,0,Electric,Automatic,2948,656,Brand New,21.7,17928.05
Nissan,Magnite,1990,127062,Diesel,Automatic,3203,122,Second Hand,9.0,2000.0
Audi,Q3,1987,202109,Diesel,Automatic,1536,166,Second Hand,19.2,2000.0
Hyundai,Verna,1999,58118,Diesel,Manual,4330,374,Second Hand,32.4,2000.0
Mahindra,Scorpio,1987,0,Petrol,Manual,4569,396,Brand New,28.5,33102.18
Porsche,911,1988,158789,Hybrid,Manual,3809,96,Second Hand,14.6,2000.0
Kia,Seltos,2002,55422,Diesel,Manual,2352,350,Second Hand,32.9,2000.0
Ferrari,Roma,1994,43678,Petrol,Manual,3322,628,Second Hand,17.1,2000.0
Ford,Figo,1993,0,Hybrid,Manual,4308,469,Brand New,31.9,29654.48
Mahindra,Thar,2021,0,Electric,Manual,2538,84,Brand New,8.8,23497.99
Nissan,Micra,2008,230089,Diesel,Automatic,4127,538,Second Hand,11.9,2000.0
McLaren,720S,2007,0,Electric,Manual,1138,117,Brand New,23.2,136595.38
Tata,Nexon,2023,0,Diesel,Manual,2084,187,Brand New,8.6,22092.67
Mahindra,XUV500,2006,203418,Diesel,Manual,2974,212,Second Hand,10.3,2000.0
Volkswagen,Vento,2013,0,Diesel,Manual,969,219,Brand New,25.6,16471.37
BMW,3 Series,2007,13270,Hybrid,Manual,2042,191,Second Hand,24.9,31975.92
Toyota,Camry,2005,0,Petrol,Automatic,2335,413,Brand New,12.1,26316.18
Lamborghini,Aventador,1985,0,Hybrid,Automatic,2911,177,Brand New,22.5,276657.71
Land Rover,Discovery,2023,183462,Electric,Automatic,3642,607,Second Hand,30.4,79057.45
Kia,Seltos,2004,0,Hybrid,Manual,3552,209,Brand New,26.1,18341.45
Kia,Carnival,1987,0,Hybrid,Automatic,2924,254,Brand New,26.1,36730.83
Rolls-Royce,Ghost,1997,149962,Electric,Manual,1383,341,Second Hand,10.6,2000.0
McLaren,570S,1990,38485,Hybrid,Manual,3571,550,Second Hand,30.5,2000.0
Toyota,Corolla,2001,0,Electric,Manual,3989,480,Brand New,23.7,28388.88
Mercedes-Benz,E-Class,2003,0,Hybrid,Manual,1778,64,Brand New,21.6,60318.09
Ferrari,Roma,2006,0,Petrol,Automatic,1903,429,Brand New,11.8,380883.24
McLaren,570S,2021,0,Electric,Manual,3396,362,Brand New,24.0,215624.99
Land Rover,Range Rover,2004,204963,Petrol,Automatic,4027,233,Second Hand,15.4,2000.0
Ferrari,488,2015,68976,Diesel,Automatic,4187,508,Second Hand,17.1,154925.91
Volvo,XC40,1986,0,Electric,Automatic,3499,124,Brand New,8.3,66852.51
Ferrari,Roma,1987,0,Petrol,Automatic,1772,440,Brand New,8.5,231894.8
Audi,A6,1989,0,Hybrid,Manual,2527,512,Brand New,23.6,61988.15
Mercedes-Benz,GLC,1998,0,Electric,Manual,2202,619,Brand New,12.9,70549.79
Ferrari,Roma,2022,217207,Electric,Automatic,3104,138,Second Hand,26.8,94138.99
Mahindra,XUV500,2001,0,Diesel,Automatic,2043,345,Brand New,13.1,14373.55
Kia,Carnival,1987,0,Diesel,Manual,2513,384,Brand New,14.7,17279.96
Honda,City,1995,17371,Electric,Manual,2842,415,Second Hand,12.8,2000.0
Volvo,XC40,2000,81508,Hybrid,Manual,4280,335,Second Hand,22.9,2000.0
McLaren,570S,1986,60178,Petrol,Manual,3620,287,Second Hand,23.9,2000.0
Porsche,Cayenne,2000,0,Electric,Automatic,1840,79,Brand New,30.1,107132.44
Tata,Nexon,2012,0,Diesel,Manual,4343,410,Brand New,20.8,18291.3
Rolls-Royce,Phantom,2015,108455,Petrol,Manual,3209,391,Second Hand,13.2,126085.0
Nissan,Kicks,2021,0,Hybrid,Manual,1937,133,Brand New,18.9,13834.71
Audi,Q5,1997,0,Hybrid,Automatic,4772,438,Brand New,22.0,72466.51
Tata,Harrier,1994,116110,Petrol,Manual,854,90,Second Hand,15.5,2000.0
Mahindra,Scorpio,1991,114758,Electric,Automatic,2872,255,Second Hand,35.0,2000.0
Lamborghini,Huracan,2002,100586,Hybrid,Manual,4895,97,Second Hand,17.0,2000.0
Honda,Accord,1996,0,Hybrid,Automatic,4806,259,Brand New,27.5,38728.57
Ford,Mustang,2017,0,Hybrid,Manual,3323,347,Brand New,28.5,32034.39
Tesla,Model X,2010,0,Hybrid,Manual,1156,391,Brand New,14.6,146071.0
Mahindra,Thar,2010,0,Hybrid,Manual,962,60,Brand New,18.3,40841.87
Ford,Endeavour,1994,194872,Diesel,Automatic,4332,650,Second Hand,14.8,2000.0
Ford,Endeavour,2021,247489,Hybrid,Automatic,4332,175,Second Hand,30.7,12555.3
Volkswagen,Polo,2000,232768,Petrol,Automatic,3778,614,Second Hand,33.3,2000.0
Honda,City,2019,193254,Diesel,Automatic,2665,474,Second Hand,24.4,11802.48
McLaren,570S,2012,0,Petrol,Automatic,3012,545,Brand New,22.5,350480.63
Tata,Nexon,1993,0,Petrol,Manual,2062,105,Brand New,12.9,16306.79
Hyundai,Verna,2001,0,Electric,Automatic,4193,412,Brand New,11.1,36943.83
Audi,A4,2003,0,Hybrid,Automatic,1705,229,Brand New,33.7,100131.22
Lamborghini,Huracan,1998,224494,Diesel,Manual,1871,214,Second Hand,32.8,2000.0
BMW,3 Series,2024,0,Electric,Automatic,2305,664,Brand New,21.6,84171.01
Mercedes-Benz,GLA,2005,210575,Electric,Automatic,4043,425,Second Hand,15.8,10117.73
Toyota,RAV4,2012,0,Electric,Manual,4807,110,Brand New,25.1,17608.62
Toyota,Fortuner,1992,149264,Petrol,Automatic,4243,82,Second Hand,18.9,2000.0
Ford,Endeavour,2016,222256,Diesel,Manual,870,68,Second Hand,24.5,12779.81
Lamborghini,Huracan,1989,72701,Hybrid,Automatic,2853,563,Second Hand,10.7,2000.0
McLaren,720S,1985,0,Electric,Manual,4926,309,Brand New,30.5,236014.45
Audi,A6,2008,0,Petrol,Manual,3738,658,Brand New,16.4,93425.38
Volvo,XC40,2005,117871,Hybrid,Manual,3232,669,Second Hand,34.1,14194.21
Mahindra,Scorpio,1993,210123,Electric,Automatic,3208,579,Second Hand,15.4,2000.0
Land Rover,Discovery,1998,83242,Hybrid,Automatic,1856,338,Second Hand,10.7,2000.0
McLaren,570S,2001,0,Hybrid,Manual,1175,137,Brand New,28.7,203591.31
Mercedes-Benz,GLA,1988,0,Electric,Automatic,1087,215,Brand New,27.1,91037.29
Hyundai,Creta,1997,30497,Petrol,Automatic,1664,326,Second Hand,22.7,2000.0
Hyundai,Verna,1998,248281,Diesel,Automatic,3607,163,Second Hand,16.6,2000.0
Tata,Safari,2018,224947,Petrol,Automatic,1802,303,Second Hand,20.5,17629.98
Honda,Civic,2022,239102,Hybrid,Manual,4679,690,Second Hand,16.5,4722.61
Mahindra,Scorpio,2006,200081,Diesel,Manual,3952,524,Second Hand,15.6,2000.0
Toyota,RAV4,2008,0,Petrol,Manual,3936,534,Brand New,31.1,21426.73
Tesla,Model 3,1987,0,Diesel,Automatic,4960,603,Brand New,15.9,150127.73
Mahindra,Scorpio,2012,0,Hybrid,Automatic,3883,522,Brand New,26.8,24280.71
Mercedes-Benz,GLA,1994,5290,Petrol,Manual,2677,688,Second Hand,15.9,2000.0
BMW,X5,2009,82838,Petrol,Manual,4286,401,Second Hand,19.5,25646.16
Ford,Mustang,2024,0,Petrol,Manual,4698,282,Brand New,33.6,27933.24
Volvo,XC40,1995,156206,Electric,Manual,3154,311,Second Hand,23.5,2000.0
Kia,Sonet,1987,0,Petrol,Manual,3019,92,Brand New,13.2,11755.37
McLaren,720S,2019,0,Petrol,Automatic,2353,256,Brand New,23.9,368530.2
Volvo,XC60,2020,0,Electric,Manual,3687,603,Brand New,26.7,94378.43
Mercedes-Benz,C-Class,2020,0,Petrol,Automatic,1075,654,Brand New,19.4,70043.35
Audi,A6,2024,0,Petrol,Manual,4698,383,Brand New,20.7,84826.86
Porsche,Cayenne,2012,0,Diesel,Automatic,4538,213,Brand New,20.4,60626.91
Toyota,RAV4,2020,17441,Diesel,Manual,2496,385,Second Hand,32.3,8215.12
Ferrari,Roma,2003,0,Petrol,Manual,2764,623,Brand New,18.3,132320.17
Volkswagen,Passat,2019,0,Diesel,Manual,4841,90,Brand New,13.1,28185.81
Lamborghini,Huracan,2023,0,Electric,Manual,4476,577,Brand New,14.0,106121.63
McLaren,570S,2012,170352,Electric,Automatic,2254,342,Second Hand,11.4,70295.09
Ferrari,488,1986,0,Diesel,Automatic,3107,450,Brand New,31.3,207872.3
Toyota,Fortuner,2013,135826,Diesel,Automatic,2498,64,Second Hand,19.0,2497.16
Land Rover,Range Rover,1999,0,Petrol,Manual,1950,109,Brand New,16.8,83112.09
McLaren,570S,1997,14024,Electric,Automatic,4617,480,Second Hand,27.2,51902.82
BMW,5 Series,1990,0,Electric,Automatic,1451,220,Brand New,30.5,89065.36
Tesla,Model S,1995,78742,Diesel,Automatic,4215,219,Second Hand,24.1,2000.0
Audi,Q5,2010,0,Petrol,Manual,1644,107,Brand New,12.4,110119.5
Land Rover,Discovery,1994,0,Hybrid,Manual,846,649,Brand New,30.0,64633.74
Tesla,Model S,2021,128962,Diesel,Automatic,3467,247,Second Hand,20.4,188876.43
McLaren,570S,2014,84108,Diesel,Automatic,3684,696,Second Hand,8.7,147875.09
Land Rover,Range Rover,2021,67696,Electric,Automatic,4963,63,Second Hand,29.6,60005.03
Ford,Endeavour,2005,114075,Electric,Manual,1949,445,Second Hand,33.7,2000.0
Audi,Q5,2020,141002,Electric,Manual,3534,571,Second Hand,28.7,59056.02
Toyota,Corolla,2014,177920,Petrol,Automatic,4490,501,Second Hand,34.3,3313.58
Ferrari,Roma,2021,53841,Hybrid,Automatic,2519,687,Second Hand,19.1,145484.24
Hyundai,i20,2018,57309,Electric,Automatic,1729,410,Second Hand,31.8,8559.26
