brand,model,engine_cc,max_power_bhp,kerb_weight_kg,fuel_type,transmission,kilometers_driven,fuel_efficiency_kmpl
Maruti Suzuki,WagonR,1800,136.4,1775,Diesel,Automatic,106724,22.5
Volkswagen,Vento,1000,80.7,1657,Diesel,Automatic,149148,24.1
Nissan,Kicks,1000,76.0,983,Diesel,Automatic,73766,23.3
Toyota,Corolla,1500,122.3,1399,Petrol,Manual,50012,23.3
BMW,X3,1800,146.6,1072,Diesel,Automatic,87464,21.0
Kia,Seltos,1600,134.9,1399,Petrol,Automatic,80696,19.1
Toyota,Camry,1800,165.6,1840,Petrol,Automatic,8783,19.5
Tata,Tiago,1800,133.8,1437,Diesel,Manual,123789,23.8
Honda,WR-V,2000,161.1,1023,Petrol,Manual,163313,19.9
Kia,Carens,2000,141.0,1304,Diesel,Automatic,199908,18.7
Kia,Carens,1000,62.0,898,Diesel,Automatic,18705,24.1
Kia,Sonet,1500,100.9,1753,Petrol,Manual,192574,21.3
Kia,Sonet,1000,65.6,1023,Petrol,Automatic,178315,21.5
Nissan,Kicks,1200,70.9,1870,Diesel,Automatic,20433,24.2
Ford,Freestyle,2000,144.3,1701,Petrol,Manual,147722,20.6
BMW,320i,2500,235.7,892,Diesel,Automatic,62268,19.6
Nissan,Sunny,1800,151.4,1136,Diesel,Automatic,181060,20.3
Nissan,Kicks,2000,119.1,1710,Petrol,Manual,177763,20.1
Honda,City,2200,191.0,1724,Petrol,Manual,170780,18.8
Ford,Figo,1600,120.2,1451,Petrol,Manual,132171,22.8
BMW,320i,1600,91.8,1673,Diesel,Manual,82986,24.9
Hyundai,Verna,2200,150.3,1468,Petrol,Automatic,33116,18.3
Nissan,Micra,1000,90.2,1457,Petrol,Automatic,19214,22.3
Kia,Seltos,2500,144.3,1119,Petrol,Automatic,92376,18.8
Honda,WR-V,1200,73.3,998,Petrol,Automatic,50519,21.2
Maruti Suzuki,Swift,1000,85.8,1759,Diesel,Automatic,17141,25.0
Ford,Ecosport,1000,66.0,1041,Petrol,Automatic,166272,22.6
Ford,Freestyle,2200,151.9,1518,Petrol,Manual,11382,19.9
Ford,Figo,1000,94.1,1320,Petrol,Manual,173096,23.7
Honda,Jazz,1500,121.6,1000,Petrol,Manual,75981,22.7
Tata,Tiago,1200,71.0,1817,Diesel,Automatic,121244,22.6
Maruti Suzuki,Baleno,1600,100.6,1868,Petrol,Manual,32953,21.0
Maruti Suzuki,Ciaz,1000,94.0,870,Diesel,Manual,191683,24.8
Toyota,Corolla,1200,99.4,1611,Petrol,Manual,125323,23.7
Hyundai,Verna,1000,82.7,1753,Diesel,Manual,148761,24.3
Volkswagen,Polo,1000,91.2,1669,Diesel,Manual,113878,25.5
Kia,Seltos,1500,128.5,1388,Diesel,Automatic,127214,21.7
Ford,Ecosport,2500,165.7,1125,Petrol,Manual,89546,17.9
Toyota,Glanza,2000,122.9,1541,Petrol,Manual,93337,19.2
Maruti Suzuki,WagonR,1500,105.4,1302,Petrol,Manual,142688,23.2
BMW,X1,1800,154.5,1653,Diesel,Manual,167846,21.9
Toyota,Yaris,2200,143.7,1534,Diesel,Manual,17873,21.8
Volkswagen,Vento,1000,76.0,900,Petrol,Automatic,176094,23.7
Honda,Civic,1200,86.6,1264,Diesel,Automatic,39536,25.1
Kia,Sonet,2000,180.1,1459,Diesel,Automatic,7856,20.9
Hyundai,i10,1000,59.8,1425,Diesel,Manual,36916,24.3
Nissan,Micra,1500,96.0,1542,Diesel,Automatic,67020,22.2
Ford,Figo,2000,187.9,885,Petrol,Automatic,85815,18.5
Hyundai,i20,1600,117.9,1220,Diesel,Manual,129937,25.2
Nissan,Sunny,1800,122.6,1511,Diesel,Manual,60986,22.4
